Name,Ecdc,Flac,Mp3,Wav
BabyElephantWalk60,176;5.843,1461;0.142,235;0.525,2585 
ballad,88;4.75,553;0.112,118;0.31,1293 
file_example_WAV_2MG,36;5.465,493;0.142,188;0.387,2056 
gettysburg,52;4.099,378;0.099,70;0.222,758 
M1F1-float32-AFsp,9;1.873,58;0.211,10;0.216,184 
nsa_f4,77;2.456,269;0.098,26;0.158,407 
preamble10,29;2.333,199;0.099,38;0.163,414 
sample2,15;4.213,291;0.131,78;0.221,845 
smoking,88;5.031,773;0.132,118;0.332,1293 
taunt,13;1.454,49;0.096,17;0.108,90 
test_24k,59;4.545,656;0.185,79;0.234,938 
